year,author,method,estimate,paren,error_ppm
1965,Bearden,XCRD calcite,6.05972,0.00023,37
1964,Henins & Beardeb,XCRD Si,6.059768,0.000095,16
1957,Smakula et al,XCRD various,6.06002,0.00039,65
,Various,XCRD various,6.05966,0.00053,87
