"author","year","satellite","estimate","margin"
"Esposito",1979,"Viking II",398600.5,0.1
"Esposito",1974,"Viking II",398600.65,0.20
"Martin, Oh",1979,"ATS 6",398600.36,2.12
"Ferrari, et al.",1980,"Lunar Orbiter 4",398600.461,0.026 
