year,author,method,estimate,error_ppm
1968,"NBS, Driscoll & Olsen",Pellat Electro-dynamometer,1.0000102,9.7
1958,"NBS, Driscoll",Pellat Electro-dynamometer,1.0000138,12.2
1958,"NBS, Driscoll & Cutkosky",NBS Current Balance,1.0000092,7.7
1942,"NBS, Curtiss, Driscoll, & Cruthcfield",NBS Current Balance,1.000003,8
1965,"NPL, Vigoureux",NPL Current Balance,1.000008,6
