year,author,estimate,paren,error_ppm
1966,Vessot et al,137.03591,35,2.6
1968,Metcalf et al,137.03545,59,4.3
1968,Kaufman et al,137.03505,32,2.4
1968,Kaufman et al,137.03673,25,1.8
