year,author,estimate,error,error_ppm
1957,"Ucologne, Wilhelmy",2.6755,0.00012,45
1968,NBS Average,2.6751525,0.0000099,3.7
1962,"NPL, Vigourneux",2.675144,0.000007,2.6
1968,ETL,2.6751384,0.0000086,3.2
1968,VNIIM,2.6751349,,
1950,"NBS, Driscoll & Hipple",2.675231,0.000026,9.7
1961,PTB,2.67525,0.0001,37
1966,KhGIMIP,2.675105,0.000011,4
