year,lab,method,estimate,sd
1949,NBS/Thomas,Wenner,3,4.5
1954,NPL/Rayer,Campbell,2.4,7.5
1957,NRC/Romanowski,Modified Cambell,4.4,12
1961,NBS/Cutkosky,TLC,-0.6,3.2
1964,ETL/Hara,Inductor,-1.05,8
1967,NPL/Rayner,Campbell,0.45,3
1968,NSL/Thompson,TLC,0.28,0.7
1968,NSL/Thompson,TLC,0.36,0.7
