"author","year","technique","estimate","margin"
"Facy, Pontikis",1972,"Resonant Pendulum",6.6714,0.0006
"Sagitov et al.",1977,"Torsion Pendulum",6.6745,0.0008
"Luther, Towler",1982,"Torsion Pendulum",6.6726,0.0005 
